Line 1 1 1215.673584 0.139000  2  2
Line 1 1 1215.668213 0.277000  2  4
Line 1 1 1025.722900 0.026300  2  2
Line 1 1 1025.721802 0.052700  2  4
Line 1 1 972.536987 0.009670  2  2
Line 1 1 972.536621 0.019300  2  4
Line 1 1 949.743103 0.004650  2  2
Line 1 1 949.742920 0.009300  2  4
Line 1 1 937.803528 0.002600  2  2
Line 1 1 937.803284 0.005200  2  4
Line 1 1 930.748230 0.003210  2  4
Line 1 1 930.748230 0.001600  2  2
Line 1 1 926.225708 0.001060  2  2
Line 1 1 926.225586 0.002120  2  4
Line 1 1 923.150330 0.001480  2  4
Line 1 1 923.150330 0.000738  2  2
Line 1 1 920.963013 0.001070  2  4
Line 1 1 920.963013 0.000535  2  2
Line 2 1 584.333984 0.285000  1  3
Line 2 1 537.029602 0.075200  1  3
Line 2 1 522.212830 0.030700  1  3
Line 2 1 515.616577 0.015400  1  3
Line 2 1 512.098206 0.008830  1  3
Line 2 1 509.997894 0.005530  1  3
Line 2 1 508.643097 0.003690  1  3
Line 2 1 507.717804 0.002590  1  3
Line 2 1 507.057587 0.001880  1  3
Line 2 2 303.785797 0.139000  2  2
Line 2 2 303.780396 0.277000  2  4
Line 2 2 256.317688 0.026300  2  2
Line 2 2 256.316589 0.052700  2  4
Line 2 2 243.026901 0.009670  2  2
Line 2 2 243.026398 0.019300  2  4
Line 2 2 237.330902 0.004650  2  2
Line 2 2 237.330704 0.009300  2  4
Line 2 2 234.347305 0.002600  2  2
Line 2 2 234.347198 0.005200  2  4
Line 2 2 232.584305 0.001600  2  2
Line 2 2 232.584198 0.003210  2  4
Line 2 2 231.454102 0.002120  2  4
Line 2 2 231.454102 0.001060  2  2
Line 2 2 230.685593 0.001480  2  4
Line 2 2 230.685593 0.000738  2  2
Line 2 2 230.139099 0.000535  2  2
Line 2 2 230.139008 0.001070  2  4
Line 6 2 1335.708008 0.114000  4  6
Line 6 2 1335.662964 0.012700  4  4
Line 6 2 1334.531982 0.127000  2  4
Line 6 2 1037.018188 0.123000  4  2
Line 6 2 1036.336670 0.122000  2  2
Line 6 2 904.480103 0.083900  4  2
Line 6 2 904.141602 0.419000  4  4
Line 6 2 903.961609 0.336000  2  2
Line 6 2 903.623474 0.168000  2  4
Line 6 2 858.559021 0.013000  4  2
Line 6 2 858.091797 0.013000  2  2
Line 6 2 687.352112 0.033600  4  4
Line 6 2 687.345276 0.302000  4  6
Line 6 2 687.052612 0.336000  2  4
Line 6 2 636.251099 0.006130  4  2
Line 6 2 635.994507 0.006140  2  2
Line 6 2 595.024475 0.011700  4  4
Line 6 2 595.021912 0.106000  4  6
Line 6 2 594.799988 0.117000  2  4
Line 6 2 577.085876 0.002340  4  2
Line 6 2 576.874817 0.002340  2  2
Line 6 2 560.438599 0.005710  4  4
Line 6 2 560.436707 0.051400  4  6
Line 6 2 560.239380 0.057100  2  4
Line 6 2 551.873901 0.001120  4  2
Line 6 2 551.680786 0.001120  2  2
Line 6 2 549.570007 0.003030  4  2
Line 6 2 549.510986 0.015100  4  4
Line 6 2 549.378479 0.012100  2  2
Line 6 2 549.319519 0.006060  2  4
Line 6 2 543.445312 0.003490  4  4
Line 6 2 543.443176 0.031500  4  6
Line 6 2 543.257996 0.034900  2  4
Line 6 2 538.591370 0.000604  4  2
Line 6 2 538.407471 0.000605  2  2
Line 6 2 530.453796 0.003620  4  4
Line 6 2 530.358704 0.032500  4  6
Line 6 2 530.275391 0.036200  2  4
Line 6 2 466.546509 0.001480  4  2
Line 6 2 466.490692 0.007400  4  4
Line 6 2 466.408508 0.005920  2  2
Line 6 2 466.352814 0.002970  2  4
Line 6 2 438.947296 0.000643  4  2
Line 6 2 438.896210 0.003220  4  4
Line 6 2 438.825104 0.002570  2  2
Line 6 2 438.774109 0.001280  2  4
Line 6 3 977.020081 0.767000  1  3
Line 6 3 386.202789 0.232000  1  3
Line 6 3 322.574097 0.045200  1  3
Line 6 3 310.169708 0.028400  1  3
Line 6 3 291.325989 0.045100  1  3
Line 6 3 288.423187 0.003250  1  3
Line 6 3 280.026001 0.016400  1  3
Line 6 3 274.050995 0.011300  1  3
