lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
      1000    0.01   3.65e-05
      2000    0.02   1.87e-05
      3000    0.03   1.27e-05
      4000    0.04   9.74e-06
      5000    0.05   7.95e-06
      6000    0.06   6.76e-06
      7000    0.07   5.90e-06
      8000    0.08   5.27e-06
      9000    0.09   4.77e-06
     10000    0.10   4.38e-06
     11000    0.11   4.05e-06
     12000    0.12   3.78e-06
     13000    0.13   3.55e-06
     14000    0.14   3.35e-06
     15000    0.15   3.18e-06
     16000    0.16   3.03e-06
     17000    0.17   2.90e-06
     18000    0.18   2.79e-06
     19000    0.19   2.68e-06
     20000    0.20   2.59e-06
     21000    0.21   2.50e-06
     22000    0.22   2.42e-06
     23000    0.23   2.35e-06
     24000    0.24   2.29e-06
     25000    0.25   2.23e-06
     26000    0.26   2.17e-06
     27000    0.27   2.12e-06
     28000    0.28   2.08e-06
     29000    0.29   2.03e-06
     30000    0.30   1.99e-06
     31000    0.31   1.95e-06
     32000    0.32   1.92e-06
     33000    0.33   1.88e-06
     34000    0.34   1.85e-06
     35000    0.35   1.82e-06
     36000    0.36   1.79e-06
     37000    0.37   1.77e-06
     38000    0.38   1.74e-06
     39000    0.39   1.72e-06
     40000    0.40   1.70e-06
     41000    0.41   1.67e-06
     42000    0.42   1.65e-06
     43000    0.43   1.63e-06
     44000    0.44   1.61e-06
     45000    0.45   1.60e-06
     46000    0.46   1.58e-06
     47000    0.47   1.56e-06
     48000    0.48   1.55e-06
     49000    0.49   1.53e-06
     50000    0.50   1.52e-06
     51000    0.51   1.50e-06
     52000    0.52   1.49e-06
     53000    0.53   1.48e-06
     54000    0.54   1.47e-06
     55000    0.55   1.46e-06
     56000    0.56   1.44e-06
     57000    0.57   1.43e-06
     58000    0.58   1.42e-06
     59000    0.59   1.41e-06
     60000    0.60   1.40e-06
     61000    0.61   1.39e-06
     62000    0.62   1.38e-06
     63000    0.63   1.37e-06
     64000    0.64   1.36e-06
     65000    0.65   1.36e-06
     66000    0.66   1.35e-06
     67000    0.67   1.34e-06
     68000    0.68   1.33e-06
     69000    0.69   1.32e-06
     70000    0.70   1.32e-06
     71000    0.71   1.31e-06
     72000    0.72   1.30e-06
     73000    0.73   1.29e-06
     74000    0.74   1.29e-06
     75000    0.75   1.28e-06
     76000    0.76   1.28e-06
     77000    0.77   1.27e-06
     78000    0.78   1.26e-06
     79000    0.79   1.26e-06
     80000    0.80   1.25e-06
     81000    0.81   1.25e-06
     82000    0.82   1.24e-06
     83000    0.83   1.24e-06
     84000    0.84   1.23e-06
     85000    0.85   1.23e-06
     86000    0.86   1.22e-06
     87000    0.87   1.22e-06
     88000    0.88   1.21e-06
     89000    0.89   1.21e-06
     90000    0.90   1.21e-06
     91000    0.91   1.20e-06
     92000    0.92   1.20e-06
     93000    0.93   1.20e-06
     94000    0.94   1.19e-06
     95000    0.95   1.19e-06
     96000    0.96   1.18e-06
     97000    0.97   1.18e-06
     98000    0.98   1.18e-06
     99000    0.99   1.17e-06
    100000    1.00   1.17e-06
    101000    1.01   1.16e-06
    102000    1.02   1.16e-06
    103000    1.03   1.16e-06
    104000    1.04   1.15e-06
    105000    1.05   1.15e-06
    106000    1.06   1.15e-06
    107000    1.07   1.14e-06
    108000    1.08   1.14e-06
    109000    1.09   1.14e-06
    110000    1.10   1.13e-06
    111000    1.11   1.13e-06
    112000    1.12   1.13e-06
    113000    1.13   1.13e-06
    114000    1.14   1.12e-06
    115000    1.15   1.12e-06
    116000    1.16   1.12e-06
    117000    1.17   1.12e-06
    118000    1.18   1.11e-06
    119000    1.19   1.11e-06
    120000    1.20   1.11e-06
    121000    1.21   1.10e-06
    122000    1.22   1.10e-06
    123000    1.23   1.10e-06
    124000    1.24   1.10e-06
    125000    1.25   1.09e-06
    126000    1.26   1.09e-06
    127000    1.27   1.09e-06
    128000    1.28   1.09e-06
    129000    1.29   1.09e-06
    130000    1.30   1.08e-06
    131000    1.31   1.08e-06
    132000    1.32   1.08e-06
    133000    1.33   1.08e-06
    134000    1.34   1.08e-06
    135000    1.35   1.07e-06
    136000    1.36   1.07e-06
    137000    1.37   1.07e-06
    138000    1.38   1.07e-06
    139000    1.39   1.07e-06
    140000    1.40   1.06e-06
    141000    1.41   1.06e-06
    142000    1.42   1.06e-06
    143000    1.43   1.06e-06
    144000    1.44   1.06e-06
    145000    1.45   1.05e-06
    146000    1.46   1.05e-06
    147000    1.47   1.05e-06
    148000    1.48   1.05e-06
    149000    1.49   1.05e-06
    150000    1.50   1.05e-06
    151000    1.51   1.04e-06
    152000    1.52   1.04e-06
    153000    1.53   1.04e-06
    154000    1.54   1.04e-06
    155000    1.55   1.04e-06
    156000    1.56   1.04e-06
    157000    1.57   1.03e-06
    158000    1.58   1.03e-06
    159000    1.59   1.03e-06
    160000    1.60   1.03e-06
    161000    1.61   1.03e-06
    162000    1.62   1.03e-06
    163000    1.63   1.03e-06
    164000    1.64   1.03e-06
    165000    1.65   1.02e-06
    166000    1.66   1.02e-06
    167000    1.67   1.02e-06
    168000    1.68   1.02e-06
    169000    1.69   1.02e-06
    170000    1.70   1.02e-06
    171000    1.71   1.02e-06
    172000    1.72   1.01e-06
    173000    1.73   1.01e-06
    174000    1.74   1.01e-06
    175000    1.75   1.01e-06
    176000    1.76   1.01e-06
    177000    1.77   1.01e-06
    178000    1.78   1.01e-06
    179000    1.79   1.01e-06
    180000    1.80   1.01e-06
    181000    1.81   1.00e-06
    182000    1.82   1.00e-06
    183000    1.83   1.00e-06
    184000    1.84   1.00e-06
    185000    1.85   9.99e-07
    186000    1.86   9.98e-07
    187000    1.87   9.97e-07
    188000    1.88   9.96e-07
    189000    1.89   9.95e-07
    190000    1.90   9.94e-07
    191000    1.91   9.93e-07
    192000    1.92   9.92e-07
    193000    1.93   9.91e-07
    194000    1.94   9.90e-07
    195000    1.95   9.89e-07
    196000    1.96   9.88e-07
    197000    1.97   9.87e-07
    198000    1.98   9.86e-07
    199000    1.99   9.85e-07
    200000    2.00   9.87e-07
    201000    2.01   9.86e-07
    202000    2.02   9.85e-07
    203000    2.03   9.84e-07
    204000    2.04   9.83e-07
    205000    2.05   9.82e-07
    206000    2.06   9.81e-07
    207000    2.07   9.80e-07
    208000    2.08   9.79e-07
    209000    2.09   9.78e-07
    210000    2.10   9.78e-07
    211000    2.11   9.77e-07
    212000    2.12   9.78e-07
    213000    2.13   9.77e-07
    214000    2.14   9.76e-07
    215000    2.15   9.75e-07
    216000    2.16   9.74e-07
    217000    2.17   9.74e-07
    218000    2.18   9.73e-07
    219000    2.19   9.72e-07
    220000    2.20   9.71e-07
    221000    2.21   9.71e-07
    222000    2.22   9.70e-07
    223000    2.23   9.69e-07
    224000    2.24   9.68e-07
    225000    2.25   9.68e-07
    226000    2.26   9.67e-07
    227000    2.27   9.66e-07
    228000    2.28   9.65e-07
    229000    2.29   9.65e-07
    230000    2.30   9.64e-07
    231000    2.31   9.63e-07
    232000    2.32   9.62e-07
    233000    2.33   9.62e-07
    234000    2.34   9.61e-07
    235000    2.35   9.60e-07
    236000    2.36   9.60e-07
    237000    2.37   9.59e-07
    238000    2.38   9.59e-07
    239000    2.39   9.58e-07
    240000    2.40   9.57e-07
    241000    2.41   9.57e-07
    242000    2.42   9.56e-07
    243000    2.43   9.55e-07
    244000    2.44   9.55e-07
    245000    2.45   9.54e-07
    246000    2.46   9.53e-07
    247000    2.47   9.53e-07
    248000    2.48   9.52e-07
    249000    2.49   9.52e-07
    250000    2.50   9.51e-07
    251000    2.51   9.50e-07
    252000    2.52   9.50e-07
    253000    2.53   9.49e-07
    254000    2.54   9.49e-07
    255000    2.55   9.48e-07
    256000    2.56   9.47e-07
    257000    2.57   9.47e-07
    258000    2.58   9.46e-07
    259000    2.59   9.46e-07
    260000    2.60   9.45e-07
    261000    2.61   9.45e-07
    262000    2.62   9.44e-07
    263000    2.63   9.43e-07
    264000    2.64   9.43e-07
    265000    2.65   9.42e-07
    266000    2.66   9.42e-07
    267000    2.67   9.41e-07
    268000    2.68   9.41e-07
    269000    2.69   9.40e-07
    270000    2.70   9.40e-07
    271000    2.71   9.39e-07
    272000    2.72   9.39e-07
    273000    2.73   9.38e-07
    274000    2.74   9.38e-07
    275000    2.75   9.37e-07
    276000    2.76   9.37e-07
    277000    2.77   9.36e-07
    278000    2.78   9.36e-07
    279000    2.79   9.35e-07
    280000    2.80   9.35e-07
    281000    2.81   9.34e-07
    282000    2.82   9.34e-07
    283000    2.83   9.33e-07
    284000    2.84   9.33e-07
